checkpoint_file,epoch,val_mse,val_psnr,val_ssim,g_loss,d_loss,adv_weight
checkpoint_epoch_001.pt,0,0.00014690605735289254,40.19914600486501,0.8885358939021258,0.000240384745401134,0.0,0.0
checkpoint_epoch_002.pt,1,0.0001377299289360115,40.47933829399768,0.8968472989922783,0.000139934385988617,0.0,0.0
checkpoint_epoch_003.pt,2,0.0001353459950881507,40.555191281555324,0.8988145439437043,0.00013606586575642805,0.0,0.0
checkpoint_epoch_004.pt,3,0.0001332997381600089,40.62137649365812,0.90074097681701,0.0001339136926185041,0.0,0.0
checkpoint_epoch_005.pt,4,0.00013197341047641,40.664820871318234,0.9018920555557834,0.00013246206288899904,0.0,0.0
checkpoint_epoch_006.pt,5,0.00013077973331594906,40.7042931163827,0.902817010250568,0.00013130084023395378,0.0,0.0
checkpoint_epoch_007.pt,6,0.00012988493646899654,40.734117514232615,0.9035815629546824,0.00013026344457290432,0.0,0.0
checkpoint_epoch_008.pt,7,0.00012890114846820705,40.76714355770508,0.9042245969277908,0.0001292679091763313,0.0,0.0
checkpoint_epoch_009.pt,8,0.00012750172407586564,40.81455474474538,0.905509138460709,0.00012811306921643574,0.0,0.0
checkpoint_epoch_010.pt,9,0.00012545544209317192,40.884812326084194,0.907320504552301,0.00012651911284865898,0.0,0.0
checkpoint_epoch_011.pt,10,0.0001236504369882383,40.947747352177856,0.9089097462208904,0.00012454884643277526,0.15339669030610756,1e-06
checkpoint_epoch_012.pt,11,0.00012263074757256907,40.983731795106905,0.9101334763984312,0.0001235367683961313,0.02450275771119402,1.000974609375e-06
checkpoint_epoch_013.pt,12,0.00012189126245246657,41.010009421423256,0.9109538421842391,0.0001231377032310587,0.0019593610842774866,1.007796875e-06
checkpoint_epoch_014.pt,13,0.00012140845556611459,41.027238973565936,0.9111443711481504,0.00012244992761106875,0.0011035728084566614,1.0263144531249999e-06
checkpoint_epoch_015.pt,14,0.00012064574549216254,41.054607527997575,0.9118397243999629,0.00012169848170106387,0.0007286875836567895,1.062375e-06
checkpoint_epoch_016.pt,15,0.00011978260419437469,41.08579132474938,0.9124351292516999,0.00012091820268821799,0.0006579404747460221,1.121826171875e-06
checkpoint_epoch_017.pt,16,0.00011901438645867085,41.11373268112655,0.9127428405493333,0.00012013638981867523,0.0005959666171215575,1.210515625e-06
checkpoint_epoch_018.pt,17,0.0001184133519711498,41.13571125904303,0.9125991375223321,0.0001194219695766469,0.0005474040376632203,1.334291015625e-06
checkpoint_epoch_019.pt,18,0.0001176187795107493,41.1649542414152,0.9131186244330483,0.00011880419401983383,0.00049680832960338,1.499e-06
checkpoint_epoch_020.pt,19,0.00011693707206993748,41.19019550462865,0.9139085350243019,0.00011828841810621584,0.0004943828179392412,1.710490234375e-06
checkpoint_epoch_021.pt,20,0.00011633149772173925,41.212742962452836,0.9144681025502088,0.00011790522195152404,0.0006554561087416878,1.974609375e-06
checkpoint_epoch_022.pt,21,0.00011577418912074056,41.23360886524845,0.9152855968819338,0.00011760969305969044,0.0005581132285067218,2.2972050781250003e-06
checkpoint_epoch_023.pt,22,0.00011565224270482829,41.23817308836782,0.9153320440163728,0.00011740249897535543,0.00045779887171808816,2.6841249999999995e-06
checkpoint_epoch_024.pt,23,0.0001150604599444723,41.26045902146226,0.9162277695534689,0.00011728462404096415,0.00041455449040503047,3.1412167968750003e-06
checkpoint_epoch_025.pt,24,0.00011446584302705486,41.28297120257843,0.9169012673253194,0.00011725098012715281,0.0003907386867528898,3.674328124999999e-06
checkpoint_epoch_026.pt,25,0.00011431862311902602,41.288559248986346,0.9169626380384769,0.00011727265783140828,0.0003328714051859186,4.2893066406249995e-06
checkpoint_epoch_027.pt,26,0.00011385345647566583,41.30628929140922,0.9173113052402255,0.00011728768964987687,0.00031013215450630545,4.992000000000001e-06
checkpoint_epoch_028.pt,27,0.00011315971585392279,41.332846901608626,0.9179344267673498,0.000117332882776041,0.0003013902064125709,5.788255859374999e-06
checkpoint_epoch_029.pt,28,0.0001125504289644122,41.356318781530085,0.9187391288880684,0.0001177480714142452,0.0009811685411176005,6.683921875e-06
checkpoint_epoch_030.pt,29,0.0001122096085014418,41.36950542038388,0.9193065055786994,0.00011787630091726701,0.0002947762159441677,7.684845703124998e-06
