epoch,g_loss,d_loss,val_mse,val_psnr,val_ssim,adv_weight,g_lr,d_lr
1,0.000244,0.000000,0.000147,40.21,0.8885,0.000000,1.00e-04,0.00e+00
2,0.000142,0.000000,0.000139,40.45,0.8958,0.000000,1.00e-04,0.00e+00
3,0.000137,0.000000,0.000135,40.56,0.8986,0.000000,1.00e-04,0.00e+00
4,0.000134,0.000000,0.000133,40.63,0.9005,0.000000,1.00e-04,0.00e+00
5,0.000133,0.000000,0.000132,40.67,0.9016,0.000000,1.00e-04,0.00e+00
6,0.000131,0.000000,0.000131,40.71,0.9027,0.000000,1.00e-04,0.00e+00
7,0.000130,0.000000,0.000130,40.74,0.9035,0.000000,1.00e-04,0.00e+00
8,0.000129,0.000000,0.000129,40.77,0.9042,0.000000,1.00e-04,0.00e+00
9,0.000129,0.000000,0.000128,40.79,0.9048,0.000000,1.00e-04,0.00e+00
10,0.000128,0.000000,0.000127,40.83,0.9055,0.000000,1.00e-04,0.00e+00
11,0.000127,0.172806,0.000126,40.86,0.9066,0.000001,2.00e-05,2.00e-05
12,0.000126,0.016393,0.000125,40.89,0.9072,0.000159,3.94e-05,4.00e-05
13,0.000282,0.034152,0.000358,36.33,0.7807,0.000224,5.87e-05,6.00e-05
14,0.000349,0.029245,0.000250,37.89,0.8343,0.000275,7.78e-05,4.00e-05
15,0.000393,0.026332,0.000529,34.64,0.7377,0.000317,9.68e-05,4.99e-05
16,0.000439,0.022564,0.000360,36.31,0.7634,0.000354,9.64e-05,4.99e-05
17,0.000485,0.018191,0.000256,37.79,0.8172,0.000388,9.60e-05,4.99e-05
