epoch,g_loss,d_loss,val_mse,val_psnr,val_ssim,adv_weight,g_lr,d_lr
51,0.000107,0.000080,0.000108,41.55,0.9228,0.000001,8.94e-05,1.79e-05
52,0.000108,0.000108,0.000108,41.55,0.9228,0.000001,8.89e-05,1.78e-05
53,0.000107,0.000070,0.000107,41.56,0.9230,0.000001,8.84e-05,5.31e-06
54,0.000107,0.000038,0.000107,41.56,0.9230,0.000001,8.79e-05,5.27e-06
55,0.000107,0.000037,0.000107,41.56,0.9230,0.000001,8.73e-05,5.24e-06
56,0.000107,0.000035,0.000107,41.57,0.9233,0.000001,8.68e-05,5.21e-06
57,0.000107,0.000035,0.000107,41.57,0.9235,0.000001,8.62e-05,5.17e-06
58,0.000106,0.000034,0.000107,41.57,0.9235,0.000001,8.56e-05,5.14e-06
59,0.000106,0.000033,0.000107,41.58,0.9235,0.000001,8.50e-05,5.10e-06
60,0.000106,0.000032,0.000107,41.58,0.9237,0.000001,8.44e-05,5.07e-06
61,0.000106,0.000030,0.000107,41.58,0.9237,0.000001,8.38e-05,5.03e-06
62,0.000106,0.000028,0.000107,41.56,0.9232,0.000001,8.32e-05,5.00e-06
63,0.000106,0.000027,0.000107,41.57,0.9236,0.000001,8.26e-05,4.96e-06
64,0.000105,0.000026,0.000108,41.55,0.9233,0.000001,8.20e-05,4.92e-06
65,0.000105,0.000025,0.000107,41.56,0.9233,0.000001,8.13e-05,4.88e-06
66,0.000105,0.000024,0.000107,41.56,0.9234,0.000001,8.07e-05,4.84e-06
67,0.000105,0.000023,0.000107,41.57,0.9234,0.000001,8.00e-05,4.80e-06
68,0.000104,0.000022,0.000107,41.57,0.9235,0.000001,7.94e-05,4.76e-06
69,0.000104,0.000021,0.000107,41.58,0.9238,0.000001,7.87e-05,4.72e-06
70,0.000104,0.000020,0.000107,41.58,0.9237,0.000001,7.80e-05,4.68e-06
71,0.000104,0.000019,0.000107,41.56,0.9235,0.000002,7.73e-05,4.64e-06
72,0.000103,0.000019,0.000108,41.55,0.9233,0.000002,7.66e-05,4.60e-06
73,0.000103,0.000018,0.000108,41.56,0.9235,0.000002,7.59e-05,4.56e-06
74,0.000103,0.000017,0.000107,41.56,0.9238,0.000002,7.52e-05,4.51e-06
75,0.000103,0.000017,0.000107,41.57,0.9238,0.000002,7.45e-05,4.47e-06
76,0.000102,0.000017,0.000107,41.57,0.9240,0.000002,7.38e-05,4.43e-06
77,0.000102,0.000016,0.000107,41.58,0.9240,0.000002,7.30e-05,4.38e-06
78,0.000102,0.000016,0.000107,41.58,0.9241,0.000002,7.23e-05,4.34e-06
79,0.000102,0.000015,0.000107,41.59,0.9241,0.000002,7.16e-05,4.30e-06
80,0.000101,0.000015,0.000107,41.59,0.9243,0.000002,7.08e-05,4.25e-06
81,0.000101,0.000014,0.000106,41.60,0.9245,0.000002,7.01e-05,4.21e-06
82,0.000101,0.000014,0.000106,41.60,0.9245,0.000002,6.93e-05,4.16e-06
83,0.000101,0.000013,0.000107,41.60,0.9245,0.000002,6.85e-05,4.11e-06
84,0.000100,0.000013,0.000107,41.59,0.9244,0.000002,6.78e-05,4.07e-06
85,0.000100,0.000012,0.000107,41.60,0.9245,0.000002,6.70e-05,4.02e-06
86,0.000100,0.000012,0.000107,41.59,0.9246,0.000003,6.62e-05,3.97e-06
87,0.000100,0.000012,0.000106,41.60,0.9246,0.000003,6.54e-05,3.93e-06
88,0.000099,0.000011,0.000107,41.59,0.9246,0.000003,6.46e-05,3.88e-06
89,0.000099,0.000011,0.000107,41.59,0.9245,0.000003,6.38e-05,3.83e-06
90,0.000099,0.000011,0.000107,41.59,0.9245,0.000003,6.30e-05,3.78e-06
91,0.000099,0.000010,0.000107,41.59,0.9246,0.000003,6.22e-05,3.74e-06
92,0.000098,0.000010,0.000107,41.59,0.9247,0.000003,6.14e-05,3.69e-06
93,0.000098,0.000010,0.000107,41.59,0.9247,0.000003,6.06e-05,3.64e-06
94,0.000098,0.000010,0.000107,41.58,0.9247,0.000004,5.98e-05,3.59e-06
95,0.000098,0.000010,0.000107,41.58,0.9246,0.000004,5.90e-05,3.54e-06
