epoch,g_loss,d_loss,val_mse,val_psnr,val_ssim,adv_weight,g_lr,d_lr
148,0.000080,0.000003,0.000104,41.71,0.9281,0.000032,1.79e-05,3.60e-06
149,0.000106,0.000019,0.000105,41.69,0.9278,0.000033,1.73e-05,3.47e-06
150,0.000107,0.000005,0.000105,41.68,0.9277,0.000034,1.66e-05,1.00e-06
151,0.000108,0.000003,0.000105,41.68,0.9277,0.000036,1.60e-05,9.68e-07
152,0.000108,0.000003,0.000105,41.68,0.9278,0.000037,1.54e-05,9.32e-07
153,0.000109,0.000003,0.000105,41.68,0.9279,0.000038,1.48e-05,8.96e-07
154,0.000110,0.000003,0.000104,41.70,0.9281,0.000040,1.42e-05,8.61e-07
155,0.000111,0.000003,0.000104,41.71,0.9283,0.000041,1.37e-05,8.27e-07
156,0.000112,0.000003,0.000103,41.74,0.9288,0.000042,1.31e-05,7.93e-07
157,0.000113,0.000003,0.000103,41.75,0.9290,0.000044,1.25e-05,7.60e-07
158,0.000114,0.000003,0.000103,41.77,0.9294,0.000045,1.20e-05,7.27e-07
159,0.000115,0.000003,0.000102,41.78,0.9296,0.000047,1.15e-05,6.95e-07
160,0.000117,0.000003,0.000102,41.80,0.9298,0.000048,1.10e-05,6.63e-07
161,0.000118,0.000003,0.000102,41.81,0.9300,0.000050,1.04e-05,6.33e-07
162,0.000119,0.000003,0.000102,41.82,0.9302,0.000050,9.94e-06,6.02e-07
163,0.000119,0.000003,0.000101,41.84,0.9304,0.000050,9.45e-06,5.73e-07
164,0.000119,0.000003,0.000101,41.84,0.9305,0.000050,8.98e-06,5.44e-07
165,0.000119,0.000003,0.000101,41.86,0.9307,0.000050,8.51e-06,5.16e-07
166,0.000119,0.000003,0.000100,41.87,0.9309,0.000050,8.06e-06,4.89e-07
167,0.000119,0.000003,0.000100,41.88,0.9309,0.000050,7.62e-06,4.62e-07
168,0.000119,0.000003,0.000100,41.89,0.9311,0.000050,7.19e-06,4.36e-07
169,0.000119,0.000003,0.000100,41.90,0.9313,0.000050,6.77e-06,4.10e-07
170,0.000119,0.000003,0.000099,41.91,0.9314,0.000050,6.36e-06,3.86e-07
171,0.000119,0.000003,0.000099,41.92,0.9316,0.000050,5.97e-06,3.62e-07
172,0.000119,0.000003,0.000099,41.93,0.9318,0.000050,5.58e-06,3.38e-07
173,0.000119,0.000003,0.000099,41.95,0.9320,0.000050,5.21e-06,3.16e-07
174,0.000119,0.000003,0.000098,41.96,0.9323,0.000050,4.85e-06,2.94e-07
175,0.000119,0.000003,0.000098,41.98,0.9325,0.000050,4.50e-06,2.73e-07
176,0.000119,0.000003,0.000098,41.99,0.9328,0.000050,4.17e-06,2.53e-07
177,0.000119,0.000003,0.000097,42.01,0.9330,0.000050,3.85e-06,2.33e-07
178,0.000119,0.000003,0.000097,42.02,0.9332,0.000050,3.54e-06,2.14e-07
179,0.000119,0.000003,0.000097,42.03,0.9334,0.000050,3.24e-06,1.96e-07
180,0.000119,0.000003,0.000097,42.04,0.9335,0.000050,2.95e-06,1.79e-07
181,0.000116,0.083039,0.000128,40.81,0.9167,0.000050,2.68e-06,5.42e-07
182,0.000119,0.128862,0.000135,40.60,0.9131,0.000050,2.42e-06,4.89e-07
183,0.000125,0.122443,0.000139,40.47,0.9108,0.000050,2.18e-06,6.59e-07
184,0.000129,0.125440,0.000133,40.64,0.9135,0.000050,1.94e-06,5.89e-07
185,0.000132,0.119961,0.000139,40.46,0.9107,0.000050,1.72e-06,5.22e-07
186,0.000133,0.108367,0.000139,40.46,0.9109,0.000050,1.51e-06,4.59e-07
187,0.000133,0.109625,0.000136,40.55,0.9118,0.000050,1.32e-06,4.00e-07
188,0.000132,0.103723,0.000132,40.67,0.9141,0.000050,1.14e-06,3.45e-07
189,0.000134,0.098151,0.000141,40.41,0.9108,0.000050,9.71e-07,2.94e-07
190,0.000137,0.101889,0.000140,40.42,0.9088,0.000050,8.17e-07,2.47e-07
191,0.000137,0.100271,0.000140,40.43,0.9087,0.000050,6.75e-07,2.05e-07
192,0.000137,0.103430,0.000141,40.41,0.9093,0.000050,5.47e-07,1.66e-07
193,0.000138,0.100538,0.000141,40.39,0.9093,0.000050,4.32e-07,1.31e-07
194,0.000139,0.102691,0.000142,40.37,0.9086,0.000050,3.31e-07,1.00e-07
195,0.000139,0.105667,0.000142,40.38,0.9086,0.000050,2.43e-07,1.00e-07
196,0.000139,0.107341,0.000142,40.36,0.9083,0.000050,1.69e-07,1.00e-07
197,0.000140,0.106645,0.000143,40.34,0.9077,0.000050,1.08e-07,1.00e-07
198,0.000141,0.105487,0.000143,40.33,0.9075,0.000050,1.00e-07,1.00e-07
199,0.000142,0.097862,0.000143,40.33,0.9079,0.000050,1.00e-07,1.00e-07
200,0.000142,0.090142,0.000142,40.36,0.9085,0.000050,1.00e-07,1.00e-07
